NIP	Tanggal	TimeIn	TimeOut	TimeIn OT	TimeOut OT	Status
20130501	01-May-13	8:00	17:00			OUT
20130501	02-May-13	8:00	17:00			OUT
20130501	03-May-13	8:00	17:00	17:00	20:00	OUT
20130501	04-May-13	8:00	17:00			OUT
20130501	05-May-13	8:00	17:00			OUT
20130501	06-May-13	8:00	17:00			OUT
20130501	07-May-13	8:00	17:00			OUT
20130501	08-May-13	8:00	17:00			OUT
20130501	09-May-13	8:00	17:00			OUT
20130501	10-May-13	8:00	17:00			ALPHA
20130501	11-May-13	8:00	17:00			OUT
20130501	12-May-13	8:00	17:00			OUT
20130501	13-May-13	8:00	17:00			OUT
20130501	14-May-13	8:00	17:00			OUT
20130501	15-May-13	8:00	17:00			OUT
20130501	16-May-13	8:00	17:00	17:00	20:00	OUT
20130501	17-May-13	8:00	17:00			OUT
20130501	18-May-13	8:00	17:00			OUT
20130501	19-May-13	8:00	17:00			OUT
20130501	20-May-13	8:00	17:00			OUT
20130501	21-May-13	8:00	17:00			OUT
20130501	22-May-13	8:00	17:00			OUT
20130501	23-May-13	8:00	17:00			OUT
20130501	24-May-13	8:00	17:00			OUT
20130501	25-May-13	8:00	17:00			OUT
20130501	26-May-13	8:00	17:00	17:00	20:00	OUT
20130501	27-May-13	8:00	17:00			OUT
20130501	28-May-13	8:00	17:00			OUT
20130501	29-May-13	8:00	17:00			OUT
20130501	30-May-13	8:00	17:00			OUT
20130501	31-May-13	8:00	17:00			OUT
