KODE	ACCOUNT	JENIS	TYPE	GROUP	DBCR	SALDO
1	AKTIVA	T	1		0	
1.1	AKTIVA LANCAR	H	1		0	
1.11	KAS	H	1	1.1	0	
1.1101.01	KAS AKTIF 	D	1	1.11	0	
1.1102.01	MODAL RECEH 	D	1	1.11	0	
1.1103.01	KAS BESAR 	D	1	1.11	0	
1.1104.02	MODAL KASIR 	D	1	1.11	0	
1.1105.01	KAS KECIL 	D	1	1.11	0	
1.12	BANK	H	1	1.1	0	
1.1201.01	BCA EDC (5170372168)	D	1	1.12	0	
1.1202.01	MANDIRI EDC (1310008888127)	D	1	1.12	0	
1.1203.01	BNI EDC (1768168168)	D	1	1.12	0	
1.1204.01	NIAGA EDC (0260109041008)	D	1	1.12	0	
1.1205.01	DANAMON (000200608168)	D	1	1.12	0	
1.1206.01	MUAMALAT (1160005109)	D	1	1.12	0	
1.1207.01	BCA MD 1 (5170702168)	D	1	1.12	0	
1.1208.01	BCA MD 2 (5170482168)	D	1	1.12	0	
1.1209.01	BCA MD 3 (5170673168	D	1	1.12	0	
1.1210.01	MANDIRI MD (1310002612895)	D	1	1.12	0	
1.1211.01	DANAMON PAJAK (000002807741)	D	1	1.12	0	
1.1212.01	BPR KS (1574093143)	D	1	1.12	0	
1.1213.01	BPR KAGUM (02114010015)	D	1	1.12	0	
1.1214.01	BCA RESTI (5170320168	D	1	1.12	0	
1.13	PIUTANG	H	1	1.1	0	
1.1301.01	PIUTANG HOLDING	D	1	1.13	0	
1.1302.01	PIUTANG AFILIASI	D	1	1.13	0	
1.1303.01	PIUTANG KEHILANGAN PUSAT	D	1	1.13	0	
1.1304.01	PIUTANG LAIN-LAIN	D	1	1.13	0	
1.1305.01	CADANGAN KERUGIAN PIUTANG	D	1	1.13	0	
1.14	PERSEDIAAN	D	1	1.13	0	
1.1401.01	PERSEDIAAN BELI PUTUS 	D	1	1.13	0	
1.1402.01	PERSEDIAAN SEMI KONSINYASI 	D	1	1.13	0	
1.1403.01	PERSEDIAAN KONSINYASI	D	1	1.13	0	
1.15	BIAYA DI BAYAR DI MUKA	H	1	1.1	0	
1.1501.10	BIAYA SEWA BANGUNAN DIBAYAR DIMUKA 	D	1	1.15	0	
1.1502.01	BIAYA ASURANSI DIBAYAR DIMUKA 	D	1	1.15	0	
1.1503.01	PPN MASUKAN	D	1	1.15	0	
1.2	AKTIVA TETAP	H	1		0	
1.21	TANAH	H	1	1.2	0	
1.2101.01	TANAH 	D	1	1.21	0	
1.22	BANGUNAN	H	1	1.2	0	
1.2201.01	BANGUNAN	D	1	1.22	0	
1.2202.01	AKUMULASI DEPRESIASI BANGUNAN 	D	1	1.22	0	
1.23	RENOVASI	H	1	1.2	0	
1.2301.01	RENOVASI 	D	1	1.23	0	
1.2302.01	AKUMULASI DEPRESIASI RENOVASI 	D	1	1.23	0	
1.24	PERALATAN DAN INVENTARIS	H	1	1.2	0	
1.2401.01	PERALATAN DAN INVENTARIS 	D	1	1.24	0	
1.2402.01	AKUMULASI DEPRESIASI PERALATAN DAN INVENTARIS 	D	1	1.24	0	
1.25	DEKORASI	H	1	1.2	0	
1.2501.01	DEKORASI 	D	1	1.25	0	
1.2502.01	AKUMULASI DEPRESIASI DEKORASI 	D	1	1.25	0	
1.26	INSTALASI	H	1	1.2	0	
1.2601.01	INSTALASI 	D	1	1.26	0	
1.2602.01	AKUMULASI DEPRESIASI INSTALASI 	D	1	1.26	0	
2	KEWAJIBAN	T	2		1	
2.1	KEWAJIBAN LANCAR	H	2		1	
2.11	HUTANG DAGANG 	H	2	2.1	1	
2.1101.01	HUTANG BELI PUTUS	D	2	2.11	1	
2.1102.01	HUTANG SEMI KONSINYASI	D	2	2.11	1	
